Date,Open,High,Low,Close,Adj Close,Volume
2019-11-03,12975.703125,13048.297852,12681.154297,12864.997070,12864.997070,617791119981
2019-11-04,12857.522461,13309.958008,12870.971680,13191.899414,13191.899414,746959824953
2019-11-05,13188.651367,13535.794922,13045.635742,13397.529297,13397.529297,709436090955
2019-11-06,13384.035156,13743.789063,13397.291016,13605.078125,13605.078125,721210100713
2019-11-07,13598.720703,13631.155273,13255.026367,13355.169922,13355.169922,645195412358
2019-11-08,13351.455078,13477.117188,13029.254883,13148.461914,13148.461914,655011091118
2019-11-09,13155.618164,13264.597656,13126.389648,13206.794922,13206.794922,519440314845
2019-11-10,13200.702148,13626.135742,13181.222656,13523.123047,13523.123047,624692231069
2019-11-11,13524.954102,13622.235352,13246.349609,13275.215820,13275.215820,563775427115
2019-11-12,13280.597656,13492.787109,13223.074219,13413.487305,13413.487305,559401018443
2019-11-13,13420.596680,13660.576172,13415.699219,13583.148438,13583.148438,529820886880
2019-11-14,13584.141602,13575.239258,13313.117188,13385.612305,13385.612305,566562573108
2019-11-15,13389.824219,13342.150391,12849.854492,12931.634766,12931.634766,631511127730
2019-11-16,12930.052734,13194.815430,12896.061523,13137.000000,13137.000000,486498804036
2019-11-17,13137.176758,13482.897461,13063.451172,13262.797852,13262.797852,527614307281
2019-11-18,13257.225586,13448.492188,12890.798828,12990.377930,12990.377930,560284082622
2019-11-19,12986.266602,13116.644531,12589.839844,12752.131836,12752.131836,541594750090
2019-11-20,12749.238281,12847.805664,12582.032227,12611.310547,12611.310547,517218287564
2019-11-21,12609.535156,12643.098633,11434.528320,11585.031250,11585.031250,613206424287
2019-11-22,11588.127930,11704.210938,10219.252930,10788.142578,10788.142578,863000886637
2019-11-23,10784.125000,11063.351563,10596.676758,11014.261719,11014.261719,595103100060
2019-11-24,11015.176758,11053.786133,10254.633789,10254.633789,10254.633789,558753929878
2019-11-25,10244.748047,10768.318359,9592.208984,10500.814453,10500.814453,785913166605
2019-11-26,10495.635742,10716.099609,10374.061523,10641.826172,10641.826172,546397751336
2019-11-27,10601.230469,11033.871094,10224.492188,10900.181641,10900.181641,625334883998
2019-11-28,10904.363281,11206.861328,10811.688477,10856.515625,10856.515625,525698733431
2019-11-29,10860.166992,11254.500977,10867.891602,11143.693359,11143.693359,538434717064
2019-11-30,11142.420898,11243.226563,10851.023438,10945.333008,10945.333008,471133238552
2019-12-01,10941.905273,10941.535156,10552.354492,10847.813477,10847.813477,509635644816
2019-12-02,10847.078125,10896.896484,10573.811523,10677.850586,10677.850586,477845589793
2019-12-03,10677.786133,10785.674805,10476.496094,10616.760742,10616.760742,445201480537
2019-12-04,10614.032227,10772.187500,10366.128906,10491.010742,10491.010742,562336660889
2019-12-05,10486.632813,10934.529297,10385.050781,10655.630859,10655.630859,481624220264
2019-12-06,10666.161133,10671.059570,10523.902344,10637.116211,10637.116211,460490670931
2019-12-07,10637.341797,10680.270508,10578.676758,10606.723633,10606.723633,421453199429
2019-12-08,10604.977539,10864.536133,10573.690430,10784.103516,10784.103516,459249519865
2019-12-09,10781.227539,10781.331055,10476.686523,10519.539063,10519.539063,478636285396
2019-12-10,10516.323242,10523.146484,10264.148438,10360.416016,10360.416016,485874286476
2019-12-11,10364.212891,10408.523438,10118.928711,10158.728516,10158.728516,497805162489
2019-12-12,10159.270508,10285.678711,9981.192383,10275.259766,10275.259766,556823505287
2019-12-13,10278.906250,10310.566406,10161.370117,10246.071289,10246.071289,513545803955
2019-12-14,10246.684570,10287.377930,10068.627930,10099.354492,10099.354492,498224330283
2019-12-15,10099.054688,10173.610352,9855.633789,10116.329102,10116.329102,511429248817
2019-12-16,10118.063477,10155.178711,9391.673828,9473.735352,9473.735352,637586523261
2019-12-17,9476.085938,9519.507813,8623.298828,8709.166016,8709.166016,643375724388
2019-12-18,8712.927734,9470.972656,8504.373047,9449.533203,9449.533203,842379697358
2019-12-19,9446.735352,9558.627930,8973.175781,9211.763672,9211.763672,681309779756
2019-12-20,9216.268555,9225.608398,9028.594727,9176.531250,9176.531250,581138457282
2019-12-21,9178.658203,9182.333984,9073.156250,9110.046875,9110.046875,529624775880
2019-12-22,9107.712891,9467.686523,9095.723633,9411.694336,9411.694336,648507841738
2019-12-23,9407.035156,9595.689453,9074.708008,9159.985352,9159.985352,685321021432
2019-12-24,9161.065430,9382.966797,9072.022461,9197.092773,9197.092773,567359231233
