Date,Open,High,Low,Close,Adj Close,Volume
2020-04-10,0.153437,0.153607,0.143985,0.149930,0.149930,9301820245
2020-04-11,0.149918,0.152676,0.147871,0.151567,0.151567,12292403428
2020-04-12,0.151551,0.153053,0.148630,0.151599,0.151599,12941831092
2020-04-13,0.151556,0.151626,0.144381,0.149381,0.149381,12762485186
2020-04-14,0.149308,0.150468,0.147497,0.149233,0.149233,14352834863
2020-04-15,0.149157,0.150122,0.146084,0.148449,0.148449,12997732863
2020-04-16,0.148453,0.155934,0.144370,0.155845,0.155845,13823911568
2020-04-17,null,null,null,null,null,null
2020-04-18,0.153979,0.157754,0.153544,0.157661,0.157661,12866436145
2020-04-19,0.157568,0.158576,0.155134,0.157603,0.157603,13214187351
2020-04-20,0.157604,0.157899,0.150364,0.151821,0.151821,12998975220
2020-04-21,0.151828,0.155919,0.150215,0.151746,0.151746,12596335790
2020-04-22,0.151680,0.155410,0.151121,0.153642,0.153642,12512438806
2020-04-23,0.153622,0.160935,0.152562,0.155570,0.155570,13603024178
2020-04-24,0.155571,0.162045,0.155184,0.160478,0.160478,15993364260
2020-04-25,0.160411,0.163774,0.159266,0.163402,0.163402,17534993000
2020-04-26,0.163326,0.186468,0.162974,0.183769,0.183769,21958375430
2020-04-27,0.183874,0.184158,0.175847,0.179410,0.179410,21030072526
2020-04-28,0.179333,0.180807,0.177019,0.177923,0.177923,19391096278
2020-04-29,0.177933,0.191310,0.177010,0.189459,0.189459,22256793254
2020-04-30,0.189429,0.202088,0.180260,0.184218,0.184218,22514903868
2020-05-01,0.184333,0.193693,0.184897,0.189185,0.189185,21459523208
2020-05-02,0.189291,0.193601,0.187502,0.193320,0.193320,20410314251
2020-05-03,0.193199,0.194793,0.187473,0.189614,0.189614,20028163786
2020-05-04,0.189656,0.189958,0.180982,0.187672,0.187672,19776398660
2020-05-05,0.187682,0.190368,0.185421,0.188668,0.188668,18671381688
2020-05-06,0.188564,0.196938,0.187803,0.192789,0.192789,19162470385
2020-05-07,0.191936,0.202830,0.188722,0.201683,0.201683,21539428147
2020-05-08,0.201349,0.202268,0.196268,0.198130,0.198130,22020678140
2020-05-09,0.197887,0.198953,0.193703,0.197312,0.197312,22273204059
2020-05-10,0.197176,0.197273,0.178296,0.185770,0.185770,21965266851
2020-05-11,0.185610,0.190617,0.177606,0.183223,0.183223,21083773399
2020-05-12,0.183260,0.188820,0.182701,0.185629,0.185629,19817113178
2020-05-13,0.185672,0.190685,0.185498,0.190176,0.190176,20056832278
2020-05-14,0.189943,0.197996,0.189503,0.194338,0.194338,21423865420
2020-05-15,0.194288,0.194554,0.188689,0.190133,0.190133,19809979012
2020-05-16,0.190190,0.192306,0.188446,0.190645,0.190645,19323328853
2020-05-17,0.190630,0.195614,0.190396,0.192466,0.192466,19599711644
2020-05-18,0.192346,0.195763,0.190960,0.192307,0.192307,20084053607
2020-05-19,0.192330,0.194058,0.189432,0.192174,0.192174,13846638939
2020-05-20,0.192224,0.193586,0.187960,0.189446,0.189446,13516025568
2020-05-21,0.189615,0.192481,0.183366,0.187971,0.187971,15197329533
2020-05-22,0.188032,0.193223,0.187042,0.192500,0.192500,16365960320
2020-05-23,0.192462,0.194896,0.189932,0.193326,0.193326,15873756798
2020-05-24,0.193350,0.194625,0.186274,0.186783,0.186783,14185024046
2020-05-25,0.186607,0.193194,0.185048,0.192753,0.192753,16289890794
2020-05-26,0.192689,0.192902,0.186774,0.187698,0.187698,14002336580
2020-05-27,0.187635,0.191591,0.187006,0.190508,0.190508,14130775418
2020-05-28,0.190621,0.193574,0.188966,0.191035,0.191035,16670154279
2020-05-29,0.191030,0.192472,0.189321,0.191248,0.191248,15141301423
2020-05-30,0.191177,0.198298,0.190516,0.197506,0.197506,15158176454
2020-05-31,0.197520,0.197678,0.192448,0.192930,0.192930,14212312924
2020-06-01,0.192973,0.200942,0.192787,0.199863,0.199863,14781661498
2020-06-02,0.199915,0.200565,0.189209,0.192262,0.192262,15022162672
2020-06-03,0.192283,0.195824,0.191579,0.194541,0.194541,14313939878
2020-06-04,0.194546,0.201372,0.194089,0.198500,0.198500,14644781625
2020-06-05,0.198575,0.198809,0.195110,0.196144,0.196144,14270100968
