Date,Open,High,Low,Close,Adj Close,Volume
2019-09-18,1506.581055,1630.264526,1495.265015,1584.250977,1584.250977,26298597786
2019-09-19,1583.301392,1605.539307,1473.100342,1543.133301,1543.133301,17814324558
2019-09-20,1544.391113,1540.884644,1502.039673,1521.776978,1521.776978,14169191997
2019-09-21,1522.417114,1533.824951,1494.628418,1501.177734,1501.177734,12469198698
2019-09-22,1501.943237,1501.934448,1442.175781,1461.433350,1461.433350,10946936260
2019-09-23,1461.511353,1453.297241,1378.761475,1379.581299,1379.581299,10403042384
2019-09-24,1379.020264,1392.909546,1134.288940,1140.293457,1140.293457,16286335089
2019-09-25,1139.689209,1178.193970,1079.327393,1154.145630,1154.145630,12756297247
2019-09-26,1154.167236,1177.211182,1053.308594,1097.206543,1097.206543,11184747138
2019-09-27,1097.037964,1118.138062,1055.096924,1115.724243,1115.724243,9860351100
2019-09-28,1115.817017,1125.007813,1097.345459,1117.669556,1117.669556,8736093253
2019-09-29,1117.865845,1122.406982,1067.656738,1079.129272,1079.129272,7735620020
2019-09-30,1079.661865,1121.403442,1050.224854,1120.629883,1120.629883,8783314479
2019-10-01,1122.048218,1158.666016,1122.286865,1130.877319,1130.877319,8900530152
2019-10-02,1131.335815,1136.375488,1115.062134,1134.871338,1134.871338,7549439313
2019-10-03,1134.634033,1136.859253,1096.080566,1117.036743,1117.036743,8361440017
2019-10-04,1116.893188,1126.401855,1097.827637,1115.855957,1115.855957,8606014293
2019-10-05,1115.488770,1119.283936,1095.658447,1113.618652,1113.618652,8758608714
2019-10-06,1113.509399,1115.507080,1080.967773,1087.103394,1087.103394,8262471252
2019-10-07,1086.409424,1151.227417,1079.937500,1146.998779,1146.998779,10478296692
2019-10-08,1147.342041,1164.166138,1131.620972,1147.225464,1147.225464,9639406603
2019-10-09,1147.411499,1277.711426,1138.577881,1266.392334,1266.392334,21024256627
2019-10-10,1266.212769,1273.982910,1215.744141,1247.375732,1247.375732,16821818307
2019-10-11,1247.228760,1252.330566,1187.212158,1187.212158,1187.212158,13837018049
2019-10-12,1187.541626,1244.235840,1185.873657,1227.595337,1227.595337,16234984028
2019-10-13,1226.086304,1330.879028,1218.477905,1298.478394,1298.478394,19510525718
2019-10-14,1298.478394,1326.757935,1279.103394,1315.182373,1315.182373,17574839716
2019-10-15,1312.788208,1369.192383,1301.385254,1325.942627,1325.942627,23271779629
2019-10-16,1323.962036,1327.580078,1250.574219,1273.142578,1273.142578,16390101606
2019-10-17,1273.188599,1334.695923,1259.469116,1320.903198,1320.903198,17816237307
2019-10-18,1321.309570,1332.907349,1266.279053,1297.699585,1297.699585,14804209714
2019-10-19,1297.632202,1316.169434,1277.647339,1300.141846,1300.141846,15051896854
2019-10-20,1300.589600,1319.094604,1270.347168,1309.829956,1309.829956,16016595543
2019-10-21,1311.604370,1313.045898,1280.605225,1298.220459,1298.220459,13342118349
2019-10-22,1297.675415,1331.958862,1287.382446,1289.049194,1289.049194,16643324773
2019-10-23,1289.263550,1294.317139,1161.600830,1181.897827,1181.897827,14222239650
2019-10-24,1181.961548,1218.785889,1170.950928,1199.463745,1199.463745,14219905833
2019-10-25,1212.295654,1339.503174,1167.411133,1318.761597,1318.761597,24398632591
2019-10-26,1319.687500,1401.370972,1287.969360,1338.146606,1338.146606,20694065002
2019-10-27,1338.120483,1387.484009,1315.765015,1370.445557,1370.445557,20752496010
2019-10-28,1369.935913,1478.837402,1366.221802,1397.804321,1397.804321,23902458566
2019-10-29,1401.717896,1482.957886,1396.641479,1451.716064,1451.716064,22516771062
2019-10-30,1452.842896,1458.110352,1362.293213,1423.006836,1423.006836,17731403249
2019-10-31,1423.882446,1447.728027,1386.670166,1419.616577,1419.616577,17761030647
2019-11-01,1419.182251,1418.506104,1398.509766,1415.620361,1415.620361,14026266748
2019-11-02,1415.478149,1438.558228,1400.603882,1429.271118,1429.271118,19315305643
2019-11-03,1429.464966,1440.952393,1402.602173,1424.972900,1424.972900,18164496304
2019-11-04,1426.411621,1480.594238,1428.814575,1468.021118,1468.021118,20989120586
2019-11-05,1468.267212,1480.707031,1447.154175,1466.736938,1466.736938,18661677966
2019-11-06,1466.189453,1485.197510,1440.096191,1478.280640,1478.280640,17148201874
2019-11-07,1478.071777,1489.105347,1438.532227,1466.902832,1466.902832,15772692293
2019-11-08,1470.177612,1477.006348,1390.054321,1405.468262,1405.468262,13175912049
2019-11-09,1404.611206,1426.439575,1399.019897,1408.656982,1408.656982,12620353530
2019-11-10,1408.457153,1472.464111,1407.963989,1461.797119,1461.797119,17108586504
2019-11-11,1461.661011,1477.525757,1425.337646,1440.898560,1440.898560,14990341079
2019-11-12,1441.455933,1497.710938,1442.603149,1497.355835,1497.355835,16342996588
2019-11-13,1498.143921,1561.048828,1494.004761,1533.250244,1533.250244,18203541852
2019-11-14,1535.481445,1548.174072,1509.409058,1530.331055,1530.331055,17127300544
2019-11-15,1528.677368,1525.465454,1445.443604,1455.352783,1455.352783,16155897049
2019-11-16,1455.437500,1478.445923,1439.606934,1453.261963,1453.261963,15119453026
2019-11-17,1452.852051,1477.320801,1435.076416,1451.576782,1451.576782,16118774778
2019-11-18,1457.509399,1469.994263,1362.409912,1389.754028,1389.754028,16143041423
2019-11-19,1389.393799,1410.869629,1320.457397,1344.037720,1344.037720,14869719173
2019-11-20,1344.328491,1358.553101,1281.366211,1304.373047,1304.373047,15080014786
2019-11-21,1303.685547,1304.971680,1192.524292,1208.293945,1208.293945,16389953018
2019-11-22,1208.343994,1239.871094,1054.580200,1118.651001,1118.651001,24514033670
2019-11-23,1118.617188,1182.150513,1087.765259,1178.798706,1178.798706,18376109401
